local_timestamp,timestamp,relative_id,sensor_data_0C:8C:DC:35:D9:56_Magn_X,sensor_data_0C:8C:DC:35:D9:56_Magn_Y,sensor_data_0C:8C:DC:35:D9:56_Magn_Z
1708091978.962669,,0,-69.94217681884766,8.562933921813965,-98.24645233154297
1708091979.0527,,1,-69.42869567871094,10.594176292419434,-98.31037902832031
1708091979.127548,,2,-69.82868194580078,9.347396850585938,-97.54740905761719
1708091979.202445,,3,-69.82868194580078,9.347396850585938,-97.54740905761719
1708091979.277488,,4,-70.8396224975586,11.888976097106934,-98.77233123779297
1708091979.352139,,5,-70.32275390625,12.600791931152344,-98.3692398071289
1708091979.487476,,6,-70.46835327148438,12.36913776397705,-97.7083969116211
1708091979.517476,,7,-68.243896484375,8.290199279785156,-96.90431213378906
1708091979.592699,,8,-68.243896484375,8.290199279785156,-96.90431213378906
1708091979.667041,,9,-71.70891571044922,10.70096206665039,-99.67803192138672
1708091979.802076,,10,-71.03231811523438,11.647407531738281,-99.5147933959961
1708091979.832923,,11,-70.21100616455078,11.784964561462402,-98.51461029052734
1708091979.906972,,12,-70.21100616455078,11.784964561462402,-98.51461029052734
1708091979.98219,,13,-71.75811004638672,12.850091934204102,-98.0350570678711
1708091980.072711,,14,-68.2567138671875,9.607641220092773,-97.65199279785156
1708091980.147766,,15,-70.78485107421875,10.300582885742188,-97.93277740478516
1708091980.222636,,16,-68.41983032226562,10.692437171936035,-97.87915802001953
1708091980.297084,,17,-68.41983032226562,10.692437171936035,-97.87915802001953
1708091980.387575,,18,-68.9319839477539,9.981611251831055,-98.14192199707031
1708091980.461995,,19,-72.29688262939453,9.213605880737305,-99.5171890258789
1708091980.537113,,20,-69.50658416748047,12.45748519897461,-98.68048095703125
1708091980.612488,,21,-69.36876678466797,9.767444610595703,-99.99937438964844
1708091980.687558,,22,-69.36876678466797,9.767444610595703,-99.99937438964844
1708091980.82247,,23,-70.31037139892578,11.003477096557617,-98.79265594482422
1708091980.852553,,24,-70.20158386230469,11.786947250366211,-98.23394775390625
1708091980.927608,,25,-69.1893310546875,10.565784454345703,-97.33570861816406
1708091981.002501,,26,-69.1893310546875,10.565784454345703,-97.33570861816406
1708091981.137658,,27,-69.32758331298828,12.9759521484375,-97.18791961669922
1708091981.167436,,28,-70.17682647705078,8.592317581176758,-99.08078002929688
1708091981.242599,,29,-68.8862075805664,8.67110824584961,-96.41192626953125
1708091981.316856,,30,-69.95751190185547,11.759546279907227,-97.11894989013672
1708091981.407542,,31,-69.95751190185547,11.759546279907227,-97.11894989013672
1708091981.482478,,32,-68.48151397705078,9.918880462646484,-97.0345687866211
1708091981.557635,,33,-68.71913146972656,11.54755973815918,-97.16482543945312
1708091981.632447,,34,-68.3359146118164,10.150534629821777,-97.6954116821289
1708091981.707674,,35,-69.40382385253906,11.919548034667969,-97.93541717529297
1708091981.842653,,36,-69.40382385253906,11.919548034667969,-97.93541717529297
1708091981.872519,,37,-71.7551498413086,11.250794410705566,-98.7391357421875
1708091981.947467,,38,-69.37467956542969,12.966039657592773,-98.59121704101562
1708091982.022649,,39,-68.38554382324219,12.019791603088379,-97.2235336303711
1708091982.156958,,40,-68.38554382324219,12.019791603088379,-97.2235336303711
1708091982.187486,,41,-70.63453674316406,10.533227920532227,-98.45328521728516
1708091982.262742,,42,-71.88397979736328,13.662945747375488,-98.31067657470703
1708091982.337568,,43,-72.844970703125,10.095137596130371,-100.05818176269531
1708091982.472597,,44,-71.37532806396484,11.173192977905273,-99.73674011230469
1708091982.50259,,45,-71.37532806396484,11.173192977905273,-99.73674011230469
1708091982.577592,,46,-68.5560073852539,10.462764739990234,-96.93765258789062
1708091982.652547,,47,-70.32998657226562,14.478971481323242,-96.63439178466797
1708091982.742042,,48,-71.18690490722656,11.693642616271973,-97.96350860595703
1708091982.817011,,49,-69.56826782226562,11.683928489685059,-97.83589172363281
1708091982.892595,,50,-69.56826782226562,11.683928489685059,-97.83589172363281
1708091982.967709,,51,-68.96452331542969,10.254546165466309,-97.95313262939453
1708091983.042543,,52,-69.28826904296875,10.064169883728027,-96.44266510009766
1708091983.177607,,53,-69.17388153076172,11.88917350769043,-97.24140930175781
1708091983.207398,,54,-69.17388153076172,11.88917350769043,-97.24140930175781
1708091983.281854,,55,-69.58667755126953,11.95983600616455,-97.22611236572266
1708091983.357012,,56,-70.49015045166016,13.964469909667969,-97.56564331054688
1708091983.492045,,57,-71.39373016357422,11.449101448059082,-99.12696075439453
1708091983.522056,,58,-68.16851043701172,8.786856651306152,-98.49900817871094
1708091983.597365,,59,-68.16851043701172,8.786856651306152,-98.49900817871094
1708091983.671917,,60,-67.06456756591797,9.945487976074219,-96.75897216796875
1708091983.762044,,61,-68.8164291381836,8.126233100891113,-96.649169921875
1708091983.83764,,62,-70.38618469238281,10.226945877075195,-98.36905670166016
1708091983.912629,,63,-68.50933837890625,10.192805290222168,-96.70545196533203
1708091983.987192,,64,-68.50933837890625,10.192805290222168,-96.70545196533203
1708091984.077064,,65,-68.19502258300781,10.381197929382324,-98.49657440185547
1708091984.152571,,66,-69.46166229248047,10.587237358093262,-99.29268646240234
1708091984.22697,,67,-68.09654998779297,10.122142791748047,-96.72074127197266
1708091984.301988,,68,-68.09654998779297,10.122142791748047,-96.72074127197266
1708091984.377191,,69,-70.3193588256836,11.281367301940918,-97.9022216796875
1708091984.512437,,70,-69.10113525390625,9.745000839233398,-98.18273162841797
1708091984.542561,,71,-71.42112731933594,12.002899169921875,-97.62674713134766
1708091984.617768,,72,-69.27499389648438,9.507397651672363,-98.3638687133789
1708091984.69262,,73,-69.27499389648438,9.507397651672363,-98.3638687133789
1708091984.827721,,74,-70.12106323242188,12.564469337463379,-98.5172119140625
1708091984.857239,,75,-70.17375946044922,11.513022422790527,-98.56306457519531
1708091984.932722,,76,-68.92431640625,8.383305549621582,-98.7056655883789
1708091985.006886,,77,-69.72842407226562,11.169426918029785,-98.76714324951172
1708091985.096778,,78,-69.72842407226562,11.169426918029785,-98.76714324951172
1708091985.172678,,79,-68.48665618896484,9.638015747070312,-98.34599304199219
1708091985.247621,,80,-68.99748992919922,10.24760627746582,-98.9354476928711
1708091985.322793,,81,-70.3099365234375,11.283349990844727,-97.6215591430664
1708091985.39762,,82,-70.3099365234375,11.283349990844727,-97.6215591430664
1708091985.532194,,83,-68.84806823730469,9.439709663391113,-97.95816802978516
1708091985.561903,,84,-68.8541030883789,8.118302345275879,-97.77181243896484
1708091985.637659,,85,-70.35232543945312,11.274428367614746,-98.88452911376953
1708091985.712067,,86,-67.66020202636719,10.056436538696289,-96.03438568115234
1708091985.847669,,87,-67.66020202636719,10.056436538696289,-96.03438568115234
1708091985.87735,,88,-68.16940307617188,7.746314525604248,-97.001220703125
1708091985.952577,,89,-69.60255432128906,10.356573104858398,-98.49151611328125
1708091986.026943,,90,-70.45301055908203,9.172525405883789,-98.83589935302734
1708091986.117181,,91,-68.97176361083984,12.13272476196289,-96.2182846069336
1708091986.192703,,92,-68.97176361083984,12.13272476196289,-96.2182846069336
1708091986.266954,,93,-68.49728393554688,12.83561897277832,-97.07817077636719
1708091986.341929,,94,-70.18745422363281,11.789920806884766,-97.81295776367188
1708091986.432008,,95,-70.64057159423828,9.211820602416992,-98.26692962646484
1708091986.506992,,96,-70.64057159423828,9.211820602416992,-98.26692962646484
1708091986.582146,,97,-68.03913879394531,11.174581527709961,-96.5345687866211
1708091986.656972,,98,-68.43177795410156,12.569624900817871,-96.28463745117188
1708091986.732253,,99,-70.64352416992188,10.811119079589844,-97.56285095214844
1708091986.867677,,100,-70.10704803466797,8.047442436218262,-99.31802368164062
1708091986.897726,,101,-70.10704803466797,8.047442436218262,-99.31802368164062
1708091986.971858,,102,-69.43811798095703,10.592193603515625,-98.59103393554688
1708091987.047077,,103,-70.14122009277344,11.240089416503906,-98.75184631347656
1708091987.182701,,104,-69.40985870361328,10.59814167022705,-97.74905395507812
1708091987.212691,,105,-70.63617706298828,13.45294189453125,-98.07589721679688
1708091987.287657,,106,-70.63617706298828,13.45294189453125,-98.07589721679688
1708091987.36189,,107,-67.32015991210938,12.129949569702148,-95.10836029052734
1708091987.452205,,108,-68.54231262207031,10.185866355895996,-97.6877670288086
1708091987.527784,,109,-71.30039978027344,10.909181594848633,-98.66255187988281
1708091987.602713,,110,-71.30039978027344,10.909181594848633,-98.66255187988281
1708091987.677146,,111,-69.802490234375,11.993184089660645,-97.49913024902344
1708091987.751958,,112,-70.10354614257812,11.248019218444824,-97.62920379638672
1708091987.887586,,113,-69.96440124511719,9.87839412689209,-99.27478790283203
1708091987.916995,,114,-71.03527069091797,13.246705055236816,-98.81070709228516
1708091987.991843,,115,-71.03527069091797,13.246705055236816,-98.81070709228516
1708091988.066945,,116,-71.13727569580078,9.824385643005371,-98.43538665771484
1708091988.202034,,117,-69.11954498291016,10.020907402038574,-97.57295227050781
1708091988.23181,,118,-70.98094177246094,11.378438949584961,-99.14225769042969
1708091988.306939,,119,-69.5182113647461,10.094544410705566,-97.13667297363281
1708091988.382643,,120,-69.5182113647461,10.094544410705566,-97.13667297363281
1708091988.517082,,121,-68.44294738769531,10.967353820800781,-97.40971374511719
1708091988.547077,,122,-68.0687255859375,9.848217964172363,-97.04985809326172
1708091988.622717,,123,-69.21759033203125,10.559836387634277,-98.17769622802734
1708091988.697672,,124,-69.21759033203125,10.559836387634277,-98.17769622802734
1708091988.787457,,125,-69.13367462158203,10.01793384552002,-97.99394226074219
1708091988.862818,,126,-67.40110778808594,11.072553634643555,-95.99618530273438
1708091988.937589,,127,-67.92739868164062,10.35875415802002,-96.679931640625
1708091989.012001,,128,-69.43604278564453,7.952353000640869,-97.79733276367188
1708091989.086933,,129,-69.43604278564453,7.952353000640869,-97.79733276367188
1708091989.222095,,130,-69.45991516113281,12.187525749206543,-98.44827270507812
1708091989.252029,,131,-69.31005859375,11.659502029418945,-96.2999038696289
1708091989.326969,,132,-71.32733917236328,12.223649978637695,-99.83122253417969
1708091989.40193,,133,-70.13397979736328,9.361908912658691,-100.4866943359375
1708091989.537042,,134,-70.13397979736328,9.361908912658691,-100.4866943359375
1708091989.566958,,135,-68.48796844482422,8.317599296569824,-98.0193099975586
1708091989.642762,,136,-70.87861633300781,10.560628890991211,-99.56828308105469
1708091989.717637,,137,-70.73390197753906,9.751740455627441,-98.73133850097656
1708091989.807134,,138,-70.73390197753906,9.751740455627441,-98.73133850097656
1708091989.882906,,139,-71.85494232177734,10.189435005187988,-100.18828582763672
1708091989.957812,,140,-70.03889465332031,10.422279357910156,-99.1778793334961
1708091990.032021,,141,-70.24825286865234,12.056907653808594,-98.46614837646484
1708091990.122765,,142,-69.5823974609375,11.680954933166504,-98.25688171386719
1708091990.197199,,143,-69.5823974609375,11.680954933166504,-98.25688171386719
1708091990.272592,,144,-68.1710433959961,10.666028022766113,-96.62383270263672
1708091990.347656,,145,-68.67420959472656,9.677311897277832,-97.77703094482422
1708091990.422874,,146,-70.1313705444336,11.521944046020508,-97.30008697509766
1708091990.557436,,147,-71.90631866455078,10.458402633666992,-100.56082153320312
1708091990.587887,,148,-71.90631866455078,10.458402633666992,-100.56082153320312
1708091990.662525,,149,-70.18745422363281,11.789920806884766,-97.81295776367188
1708091990.737563,,150,-69.2595443725586,10.830787658691406,-98.26956176757812
1708091990.87253,,151,-68.31961059570312,12.033670425415039,-95.2589111328125
1708091990.902461,,152,-68.31961059570312,12.033670425415039,-95.2589111328125
1708091990.977861,,153,-70.19434356689453,9.908768653869629,-99.96878814697266
1708091991.052831,,154,-68.58897399902344,10.455825805664062,-97.91996765136719
1708091991.142844,,155,-68.74092864990234,13.142892837524414,-97.02206420898438
1708091991.21766,,156,-69.36746978759766,10.607063293457031,-96.486083984375
1708091991.292469,,157,-69.36746978759766,10.607063293457031,-96.486083984375
1708091991.366975,,158,-70.72359466552734,10.794266700744629,-99.9484634399414
1708091991.442734,,159,-68.87458038330078,11.034050941467285,-97.95574188232422
1708091991.577183,,160,-70.5244369506836,12.637114524841309,-98.22126007080078
1708091991.607611,,161,-70.08984375,10.97111988067627,-98.37931060791016
1708091991.682571,,162,-70.0992660522461,10.969137191772461,-98.65997314453125
1708091991.757549,,163,-69.92804718017578,8.565908432006836,-97.8254623413086
1708091991.892762,,164,-69.9095230102539,12.810003280639648,-97.21343231201172
1708091991.922849,,165,-67.45380401611328,10.021106719970703,-96.04203033447266
1708091991.997703,,166,-67.45380401611328,10.021106719970703,-96.04203033447266
1708091992.072271,,167,-68.29088592529297,12.800288200378418,-97.0858154296875
1708091992.16268,,168,-69.86121368408203,9.620329856872559,-97.3586196899414
1708091992.237515,,169,-69.0899658203125,11.347271919250488,-97.05765533447266
1708091992.312565,,170,-70.1377182006836,14.440666198730469,-97.06302642822266
1708091992.387099,,171,-70.1377182006836,14.440666198730469,-97.06302642822266
1708091992.477707,,172,-69.22187042236328,10.838717460632324,-97.14692687988281
1708091992.552612,,173,-69.08229064941406,9.7489652633667,-97.62140655517578
1708091992.627677,,174,-67.38433837890625,13.71635913848877,-96.22856903076172
1708091992.702603,,175,-70.76205444335938,14.265795707702637,-98.35151672363281
1708091992.777557,,176,-70.45037078857422,11.813356399536133,-99.48927307128906
1708091992.912657,,177,-70.2076187133789,10.465540885925293,-98.0475845336914
1708091992.942632,,178,-69.98577117919922,11.7535982131958,-97.96092987060547
1708091993.017254,,180,-69.51863861083984,9.81467056274414,-98.30776977539062
